,Index,Mortality
263,1975-01-19,86.89
264,1975-01-26,91.59
265,1975-02-02,85.51
266,1975-02-09,88.16
267,1975-02-16,87.03
268,1975-02-23,88.61
269,1975-03-02,96.96
270,1975-03-09,80.03
271,1975-03-16,80.53
272,1975-03-23,76.46
273,1975-03-30,78.85
274,1975-04-06,87.03
275,1975-04-13,82.27
276,1975-04-20,78.92
277,1975-04-27,72.75
278,1975-05-04,77.75
279,1975-05-11,83.79
280,1975-05-18,82.13
281,1975-05-25,76.42
282,1975-06-01,74.58
283,1975-06-08,79.61
284,1975-06-15,76.52
285,1975-06-22,79.27
286,1975-06-29,74.7
287,1975-07-06,75.49
288,1975-07-13,82.82
289,1975-07-20,80.29
290,1975-07-27,80.05
291,1975-08-03,78.64
292,1975-08-10,79.4
293,1975-08-17,71.02
294,1975-08-24,73.55
295,1975-08-31,79.6
296,1975-09-07,85.08
297,1975-09-14,90.14
298,1975-09-21,82.26
299,1975-09-28,86.75
300,1975-10-05,90.11
301,1975-10-12,94.86
302,1975-10-19,89.68
303,1975-10-26,90.16
304,1975-11-02,85.73
305,1975-11-09,96.82
306,1975-11-16,100.37
307,1975-11-23,93.43
308,1975-11-30,94.12
309,1975-12-07,89.26
310,1975-12-14,91.81
311,1975-12-21,97.4
312,1975-12-28,102.71
313,1976-01-04,101.94
314,1976-01-11,97.4
315,1976-01-18,96.12
316,1976-01-25,105.45
317,1976-02-01,94.34
318,1976-02-08,92.51
319,1976-02-15,88.47
320,1976-02-22,85.47
321,1976-02-29,85.7
322,1976-03-07,84.48
323,1976-03-14,85.63
324,1976-03-21,79.67
325,1976-03-28,80.78
326,1976-04-04,74.58
327,1976-04-11,76.32
328,1976-04-18,80.37
329,1976-04-25,83.3
330,1976-05-02,82.98
331,1976-05-09,91.34
332,1976-05-16,78.57
333,1976-05-23,76.68
334,1976-05-30,76.47
335,1976-06-06,73.66
336,1976-06-13,78.61
337,1976-06-20,83.4
338,1976-06-27,71.96
339,1976-07-04,77.17
340,1976-07-11,72.38
341,1976-07-18,79.52
342,1976-07-25,72.05
343,1976-08-01,75.86
344,1976-08-08,74.32
345,1976-08-15,77.7
346,1976-08-22,82.99
347,1976-08-29,77.79
348,1976-09-05,77.42
349,1976-09-12,85.55
350,1976-09-19,85.33
351,1976-09-26,82.16
352,1976-10-03,83.74
353,1976-10-10,84.4
354,1976-10-17,90.32
355,1976-10-24,82.74
356,1976-10-31,91.5
357,1976-11-07,96.23
358,1976-11-14,92.9
359,1976-11-21,92.3
360,1976-11-28,91.76
361,1976-12-05,92.34
362,1976-12-12,78.91
363,1976-12-19,88.06
364,1976-12-26,81.91
365,1977-01-02,79.68
366,1977-01-09,83.2
367,1977-01-16,84.05
368,1977-01-23,85.8
369,1977-01-30,84.39
370,1977-02-06,91.74
371,1977-02-13,90.65
372,1977-02-20,89.67
373,1977-02-27,86.24
374,1977-03-06,91.46
375,1977-03-13,83.3
376,1977-03-20,83.05
377,1977-03-27,74.14
378,1977-04-03,90.12
379,1977-04-10,83.84
380,1977-04-17,79.94
381,1977-04-24,74.65
382,1977-05-01,77.89
383,1977-05-08,78.06
384,1977-05-15,74.96
385,1977-05-22,77.9
386,1977-05-29,73.65
387,1977-06-05,79.32
388,1977-06-12,82.91
389,1977-06-19,79.48
390,1977-06-26,73.21
391,1977-07-03,76.46
392,1977-07-10,73.76
393,1977-07-17,68.11
394,1977-07-24,76.53
395,1977-07-31,68.46
396,1977-08-07,72.84
397,1977-08-14,79.92
398,1977-08-21,73.26
399,1977-08-28,79.55
400,1977-09-04,77.02
401,1977-09-11,78.39
402,1977-09-18,81.86
403,1977-09-25,88.2
404,1977-10-02,75.69
405,1977-10-09,88.85
406,1977-10-16,82.52
407,1977-10-23,87.44
408,1977-10-30,82.91
409,1977-11-06,92.84
410,1977-11-13,91.85
411,1977-11-20,89.82
412,1977-11-27,96.84
413,1977-12-04,99.56
414,1977-12-11,105.1
415,1977-12-18,95.7
416,1977-12-25,93.46
417,1978-01-01,99.27
418,1978-01-08,90.39
419,1978-01-15,85.85
420,1978-01-22,86.69
421,1978-01-29,92.94
422,1978-02-05,86.63
423,1978-02-12,89.78
424,1978-02-19,83.22
425,1978-02-26,86.04
426,1978-03-05,81.53
427,1978-03-12,77.46
428,1978-03-19,76.63
429,1978-03-26,82.09
430,1978-04-02,81.22
431,1978-04-09,70.96
432,1978-04-16,80.17
433,1978-04-23,78.48
434,1978-04-30,76.8
435,1978-05-07,77.63
436,1978-05-14,74.31
437,1978-05-21,76.3
438,1978-05-28,85.97
439,1978-06-04,73.07
440,1978-06-11,76.29
441,1978-06-18,75.21
442,1978-06-25,79.18
443,1978-07-02,78.25
444,1978-07-09,77.24
445,1978-07-16,81.55
446,1978-07-23,75.46
447,1978-07-30,76.86
448,1978-08-06,88.43
449,1978-08-13,92.93
450,1978-08-20,77.65
451,1978-08-27,78.74
452,1978-09-03,73.63
453,1978-09-10,82.11
454,1978-09-17,80.81
455,1978-09-24,84.34
456,1978-10-01,83.48
457,1978-10-08,76.4
458,1978-10-15,92.77
459,1978-10-22,88.09
460,1978-10-29,96.2
461,1978-11-05,100.28
462,1978-11-12,107.58
463,1978-11-19,93.73
464,1978-11-26,87.33
465,1978-12-03,88.11
466,1978-12-10,88.07
467,1978-12-17,100.81
468,1978-12-24,95.52
469,1978-12-31,91.14
470,1979-01-07,85.67
471,1979-01-14,88.24
472,1979-01-21,88.61
473,1979-01-28,85.64
474,1979-02-04,87.29
475,1979-02-11,83.92
476,1979-02-18,89.15
477,1979-02-25,87.61
478,1979-03-04,81.99
479,1979-03-11,84.86
480,1979-03-18,81.17
481,1979-03-25,87.33
482,1979-04-01,86.4
483,1979-04-08,85.9
484,1979-04-15,79.01
485,1979-04-22,83.49
486,1979-04-29,87.88
487,1979-05-06,74.94
488,1979-05-13,80.32
489,1979-05-20,81.75
490,1979-05-27,78.68
491,1979-06-03,74.62
492,1979-06-10,74.16
493,1979-06-17,71.5
494,1979-06-24,75.89
495,1979-07-01,74.89
496,1979-07-08,77.36
497,1979-07-15,73.63
498,1979-07-22,81.17
499,1979-07-29,83.91
500,1979-08-05,82.36
501,1979-08-12,79.74
502,1979-08-19,73.46
503,1979-08-26,79.03
504,1979-09-02,76.56
505,1979-09-09,78.52
506,1979-09-16,89.43
507,1979-09-23,85.49
